year_id,sex_id,location_id,pop_internal_80plus,pop_observed_80plus,diff,flag_diff
2006,8507,1,868,868,0,FALSE
2006,8507,2,4850,4850,0,FALSE
2006,8507,3,1384,1384,0,FALSE
2006,8507,4,5700,5700,0,FALSE
2006,8507,5,2524,2524,0,FALSE
2006,8507,6,3994,3994,0,FALSE
2006,8507,7,3959,3959,0,FALSE
2006,8507,8,4197,4197,0,FALSE
2006,8507,9,1620,1620,0,FALSE
2006,8507,10,1977,1977,0,FALSE
2006,8507,11,2998,2998,0,FALSE
2006,8507,12,4864,4864,0,FALSE
2006,8507,13,6114,6114,0,FALSE
2006,8507,14,4535,4535,0,FALSE
2006,8507,15,37886,37886,0,FALSE
2006,8507,16,1781,1781,0,FALSE
2006,8507,17,229,229,0,FALSE
2006,8507,18,722,722,0,FALSE
2006,8507,19,811,811,0,FALSE
2006,8507,20,5625,5625,0,FALSE
2006,8507,21,5855,5855,0,FALSE
2006,8507,22,1356,1356,0,FALSE
2006,8507,23,768,768,0,FALSE
2006,8507,24,568,568,0,FALSE
2006,8507,25,983,983,0,FALSE
2006,8532,0,156288,156288,0,FALSE
2006,8532,1,1127,1127,0,FALSE
2006,8532,2,6932,6932,0,FALSE
2006,8532,3,2247,2247,0,FALSE
2006,8532,4,7949,7949,0,FALSE
2006,8532,5,4414,4414,0,FALSE
2006,8532,6,5886,5886,0,FALSE
2006,8532,7,5661,5661,9.09494701772928e-13,FALSE
2006,8532,8,6086,6086,0,FALSE
2006,8532,9,2713,2713,0,FALSE
2006,8532,10,2942,2942,0,FALSE
2006,8532,11,3969,3969,0,FALSE
2006,8532,12,7072,7072,0,FALSE
2006,8532,13,9474,9474,0,FALSE
2006,8532,14,6282,6282,0,FALSE
2006,8532,15,56611,56611,0,FALSE
2006,8532,16,2563,2563,0,FALSE
2006,8532,17,176,176,0,FALSE
2006,8532,18,943,943,0,FALSE
2006,8532,19,1159,1159,0,FALSE
2006,8532,20,7399,7399,0,FALSE
2006,8532,21,9765,9765,0,FALSE
2006,8532,22,2034,2034,0,FALSE
2006,8532,23,1151,1151,0,FALSE
2006,8532,24,673,673,0,FALSE
2006,8532,25,1060,1060,0,FALSE
2007,8507,0,114704,114704,0,FALSE
2007,8507,1,925,925,1.13686837721616e-13,FALSE
2007,8507,2,5116,5116,0,FALSE
2007,8507,3,1405,1405,0,FALSE
2007,8507,4,6133,6133,0,FALSE
2007,8507,5,2578,2578,0,FALSE
2007,8507,6,4196,4196,0,FALSE
2007,8507,7,4314,4314,0,FALSE
2007,8507,8,4387,4387,0,FALSE
2007,8507,9,1622,1622,0,FALSE
2007,8507,10,2112,2112,0,FALSE
2007,8507,11,3213,3213,4.54747350886464e-13,FALSE
2007,8507,12,5080,5080,0,FALSE
2007,8507,13,6766,6766,0,FALSE
2007,8507,14,4947,4947,9.09494701772928e-13,FALSE
2007,8507,15,41901,41901,0,FALSE
2007,8507,16,1901,1901,0,FALSE
2007,8507,17,268,268,0,FALSE
2007,8507,18,754,754,0,FALSE
2007,8507,19,851,851,0,FALSE
2007,8507,20,6128,6128,0,FALSE
2007,8507,21,6121,6121,0,FALSE
2007,8507,22,1497,1497,0,FALSE
2007,8507,23,834,834,0,FALSE
2007,8507,24,605,605,0,FALSE
2007,8507,25,1050,1050,0,FALSE
2007,8532,0,164458,164458,0,FALSE
2007,8532,1,1183,1183,0,FALSE
2007,8532,2,7287,7287,0,FALSE
2007,8532,3,2297,2297,0,FALSE
2007,8532,4,8449,8449,0,FALSE
2007,8532,5,4493,4493,0,FALSE
